                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6286,                 2.8724,                 3.5036,                0.35895,                0.50932,                0.33167,                0.11977,                 1.3018,                 15.844,                 1.9244,              0.0033319,              0.0033319,              0.0033319
                      2,                  1.213,                 1.5559,                 1.9022,                0.67859,                0.71035,                0.73479,                0.51782,                0.69058,                 6.3418,                 1.2792,              0.0065992,              0.0065992,              0.0065992
                      3,                0.91498,                 1.2581,                 1.5783,                0.83372,                0.83404,                0.86739,                0.67317,                0.51817,                 4.8614,                 1.1669,              0.0098006,              0.0098006,              0.0098006
                      4,                0.79787,                 1.1239,                 1.4624,                0.84585,                0.83749,                0.88411,                 0.7217,                0.43127,                 3.8397,                 1.0399,               0.009703,               0.009703,               0.009703
                      5,                0.71307,                 1.0317,                 1.3889,                0.86973,                0.85168,                0.91237,                0.75549,                0.40132,                 3.2229,                 1.0243,               0.009604,               0.009604,               0.009604
                      6,                0.66843,                0.97016,                 1.3482,                0.88441,                0.86497,                0.92602,                0.79112,                0.36574,                 3.9615,                0.96591,               0.009505,               0.009505,               0.009505
                      7,                0.62858,                0.93273,                  1.317,                0.89524,                0.87264,                0.93663,                0.80844,                0.34911,                 3.9489,                 0.9685,               0.009406,               0.009406,               0.009406
                      8,                0.60995,                 0.9045,                 1.3019,                0.90394,                0.88171,                0.94106,                0.83311,                0.32302,                 3.3724,                0.95908,               0.009307,               0.009307,               0.009307
                      9,                0.58603,                0.87485,                 1.2831,                0.90368,                0.87575,                 0.9428,                0.84401,                0.30753,                 2.4408,                0.91574,               0.009208,               0.009208,               0.009208
                     10,                0.57138,                0.86215,                 1.2697,                0.90669,                0.87485,                0.94649,                 0.8557,                0.27944,                 2.9008,                0.87319,               0.009109,               0.009109,               0.009109
                     11,                0.56389,                0.84301,                  1.262,                0.91597,                0.88827,                 0.9542,                0.86799,                0.27585,                 3.0215,                0.87658,                0.00901,                0.00901,                0.00901
                     12,                0.55084,                0.82791,                 1.2526,                0.91179,                0.89135,                0.95377,                0.87649,                0.25977,                 3.1293,                0.85823,               0.008911,               0.008911,               0.008911
                     13,                0.54293,                 0.8198,                 1.2454,                 0.9137,                0.89703,                0.95988,                0.88964,                0.25285,                 3.5236,                0.83468,               0.008812,               0.008812,               0.008812
                     14,                0.52915,                0.80119,                 1.2359,                0.91502,                0.89724,                0.96028,                0.89396,                0.24061,                 3.3243,                0.83018,               0.008713,               0.008713,               0.008713
                     15,                0.52498,                0.79085,                 1.2315,                0.91523,                0.90013,                0.96144,                0.89547,                0.23468,                 3.2002,                0.81887,               0.008614,               0.008614,               0.008614
                     16,                 0.5156,                0.78109,                 1.2252,                0.91958,                 0.9023,                0.96322,                0.90213,                0.22177,                 3.4463,                0.80873,               0.008515,               0.008515,               0.008515
                     17,                0.50835,                0.77307,                 1.2205,                0.91961,                0.90613,                 0.9655,                0.90721,                0.22112,                 3.3835,                 0.8066,               0.008416,               0.008416,               0.008416
                     18,                 0.5062,                0.76437,                 1.2156,                0.91978,                0.91368,                0.96741,                0.91102,                0.21955,                 3.2094,                0.80723,               0.008317,               0.008317,               0.008317
                     19,                0.49632,                0.75911,                 1.2073,                0.92306,                0.91143,                0.96854,                0.91548,                 0.2121,                  3.164,                0.79867,               0.008218,               0.008218,               0.008218
                     20,                0.49525,                 0.7528,                 1.2097,                0.92446,                0.91152,                0.96888,                 0.9166,                0.21169,                 3.1061,                  0.801,               0.008119,               0.008119,               0.008119
                     21,                0.48574,                0.74245,                 1.2017,                0.92786,                 0.9116,                0.96954,                0.91876,                0.20345,                 3.0455,                0.78937,                0.00802,                0.00802,                0.00802
                     22,                 0.4855,                0.73811,                 1.2016,                0.92668,                0.91653,                0.97057,                0.92056,                0.19981,                 2.9296,                0.78287,               0.007921,               0.007921,               0.007921
